g/h,n,m,Example 1,Example 2,Example 3
g,0,0,0,0,0
g,1,0,-22532.73625,-1452.054996,-26281.16305
g,1,1,1562.821228,-312.6254388,-1683.806897
g,2,0,-341.2165174,-606.0507724,-2700.38847
g,2,1,726.9655903,2446.93886,-336.5763711
g,2,2,-808.4174915,133.0761494,3095.650072
g,3,0,-231.3196614,1291.983819,-191.1868543
g,3,1,254.0982774,3120.296134,-222.8210143
g,3,2,568.1473687,-579.8233552,-663.7042422
g,3,3,-110.2994678,450.6319271,-93.09060348
g,4,0,238.3653318,-46.56640308,581.8501549
g,4,1,-154.6914516,28.83996855,37.85426907
g,4,2,257.7518465,43.22806388,512.6891084
g,4,3,-396.5762653,678.3233029,250.1465925
g,4,4,-173.6021173,466.1195049,-16.87323269
g,5,0,11.18135818,-207.0896829,25.45477215
g,5,1,4.69137382,-69.66969701,81.77166304
g,5,2,18.81426755,-302.3340399,23.20806375
g,5,3,-28.12529914,-303.0255368,102.4664384
g,5,4,-52.77242485,392.0708645,114.0982049
g,5,5,10.85729623,43.67061726,-7.211266365
g,6,0,-6.13E-02,-3.857973209,-3.880284737
g,6,1,13.12688326,-64.04194065,10.13252474
g,6,2,-6.491583062,29.86715216,0.414921659
g,6,3,-23.28751325,-44.018935,22.97955055
g,6,4,43.29963678,-13.75088083,-16.80588458
g,6,5,-8.289169425,56.41352673,6.159469884
g,6,6,8.372158385,-16.63144213,-2.050607186
g,7,0,6.859670799,8.109264525,-2.052520719
g,7,1,5.626635847,-16.5136488,1.871693654
g,7,2,0.858975131,-0.454620856,1.037092225
g,7,3,9.904944908,-3.425185529,-0.288840973
g,7,4,-11.12117825,23.28407273,6.441982772
g,7,5,8.576733278,14.31482013,-6.662685375
g,7,6,0.724416511,-7.206212133,-3.898794755
g,7,7,-2.677044144,-9.980573506,0.399809953
g,8,0,0.157912948,3.590000158,-2.548488067
g,8,1,0.314180907,0.308666897,-7.40E-02
g,8,2,-0.713611565,1.080215539,-1.181994117
g,8,3,-0.255666966,0.134984907,-1.046413676
g,8,4,4.130888675,-2.34554545,-0.610001473
g,8,5,-0.313899331,6.289047824,-0.34675247
g,8,6,-1.764670121,1.228494099,-0.104568761
g,8,7,1.776708333,-5.755757002,-0.89172817
g,8,8,-5.52E-02,-0.72316822,-0.168907815
g,9,0,-0.281370731,1.037867704,-8.81E-02
g,9,1,-0.206585277,0.693843976,-0.311785116
g,9,2,-0.100750183,0.689385406,0.12581223
g,9,3,-0.440894345,1.760421498,-0.400518207
g,9,4,-0.28543939,0.43161265,-0.157117039
g,9,5,0.931184631,-0.121655885,-0.311608934
g,9,6,0.467100123,-0.1918988,-0.47955552
g,9,7,2.92E-02,-1.346362992,7.88E-02
g,9,8,-0.146424813,-0.762769332,6.53E-02
g,9,9,0.159268931,0.767873786,-2.28E-02
g,10,0,-0.10591231,-3.34E-02,7.02E-02
g,10,1,2.64E-02,0.351089369,-2.57E-02
g,10,2,3.08E-02,-0.350747249,7.11E-02
g,10,3,0.132738765,0.211178008,-3.01E-02
g,10,4,8.30E-02,0.131416632,1.29E-02
g,10,5,-2.79E-02,-1.46E-02,-1.13E-02
g,10,6,-0.116763346,0.191727856,4.33E-03
g,10,7,0.238926674,-0.550187695,-0.101958655
g,10,8,-4.26E-02,-0.252978699,4.79E-02
g,10,9,-6.48E-02,0.226172003,5.21E-02
g,10,10,-4.03E-02,0.109236991,2.94E-02
g,11,0,0.00E+00,0,0.00E+00
g,11,1,0.00E+00,0,0.00E+00
g,11,2,0.00E+00,0,0.00E+00
g,11,3,0.00E+00,0,0.00E+00
g,11,4,0.00E+00,0,0.00E+00
g,11,5,0.00E+00,0,0.00E+00
g,11,6,0.00E+00,0,0.00E+00
g,11,7,0.00E+00,0,0.00E+00
g,11,8,0.00E+00,0,0.00E+00
g,11,9,0.00E+00,0,0.00E+00
g,11,10,0.00E+00,0,0.00E+00
g,11,11,0.00E+00,0,0.00E+00
g,12,0,0.00E+00,0,0.00E+00
g,12,1,0.00E+00,0,0.00E+00
g,12,2,0.00E+00,0,0.00E+00
g,12,3,0.00E+00,0,0.00E+00
g,12,4,0.00E+00,0,0.00E+00
g,12,5,0.00E+00,0,0.00E+00
g,12,6,0.00E+00,0,0.00E+00
g,12,7,0.00E+00,0,0.00E+00
g,12,8,0.00E+00,0,0.00E+00
g,12,9,0.00E+00,0,0.00E+00
g,12,10,0.00E+00,0,0.00E+00
g,12,11,0.00E+00,0,0.00E+00
g,12,12,0.00E+00,0,0.00E+00
g,13,0,0.00E+00,0,0.00E+00
g,13,1,0.00E+00,0,0.00E+00
g,13,2,0.00E+00,0,0.00E+00
g,13,3,0.00E+00,0,0.00E+00
g,13,4,0.00E+00,0,0.00E+00
g,13,5,0.00E+00,0,0.00E+00
g,13,6,0.00E+00,0,0.00E+00
g,13,7,0.00E+00,0,0.00E+00
g,13,8,0.00E+00,0,0.00E+00
g,13,9,0.00E+00,0,0.00E+00
g,13,10,0.00E+00,0,0.00E+00
g,13,11,0.00E+00,0,0.00E+00
g,13,12,0.00E+00,0,0.00E+00
g,13,13,0.00E+00,0,0.00E+00
h,0,0,0.00E+00,0,0.00E+00
h,1,0,0.00E+00,0.00E+00,0.00E+00
h,1,1,1313.342935,148.8971536,3554.18858
h,2,0,0.00E+00,0.00E+00,0.00E+00
h,2,1,-461.9547937,-80.5230466,-314.6117878
h,2,2,-829.9748595,452.8132264,1757.115128
h,3,0,0.00E+00,0.00E+00,0.00E+00
h,3,1,-162.9200852,1584.8588,853.2737502
h,3,2,-201.607685,-433.2661289,588.2239191
h,3,3,590.4817357,582.3058729,-479.9084159
h,4,0,0.00E+00,0.00E+00,0.00E+00
h,4,1,-39.20915746,-21.99499901,78.77907002
h,4,2,-251.250022,268.0345205,126.9468904
h,4,3,267.5042675,660.3157545,185.6584267
h,4,4,6.039489402,221.0052022,-134.419739
h,5,0,0.00E+00,0.00E+00,0.00E+00
h,5,1,62.90232446,202.45796,-116.3008385
h,5,2,-80.5978647,-79.30623948,-19.04181919
h,5,3,-26.63866703,207.6336428,-102.9160333
h,5,4,43.2238354,289.7601097,26.39798005
h,5,5,-23.72440054,-95.78593351,-0.39257623
h,6,0,0.00E+00,0.00E+00,0.00E+00
h,6,1,-23.13725311,74.47586431,-15.49764721
h,6,2,-25.45502066,79.29066136,-20.49696567
h,6,3,38.24254577,74.2387281,-15.68555874
h,6,4,-14.84913769,61.21949085,-34.37518036
h,6,5,19.60321415,19.29609458,-11.14053463
h,6,6,6.833269859,-41.19883784,-2.72814472
h,7,0,0.00E+00,0.00E+00,0.00E+00
h,7,1,-6.836461262,1.026024736,-0.67486092
h,7,2,2.423929562,23.58820628,-5.816469408
h,7,3,-6.596251238,20.56045823,-3.12674987
h,7,4,4.482985588,40.54581912,-2.018120935
h,7,5,11.27782039,-9.532169658,-4.536781072
h,7,6,-4.465497395,-2.089023281,-2.763334057
h,7,7,0.242632983,0.77324194,-0.599571264
h,8,0,0.00E+00,0.00E+00,0.00E+00
h,8,1,0.579594797,-1.019414203,0.300842105
h,8,2,2.409877086,3.633676036,-1.354061223
h,8,3,0.118328269,2.211990442,-1.328746519
h,8,4,0.946421498,3.634263602,-1.227518914
h,8,5,-1.889521785,4.034411955,-0.85461339
h,8,6,0.917369554,-6.139763985,1.016798509
h,8,7,-0.576119382,2.602856372,0.457455863
h,8,8,-1.075055381,1.797076678,0.113136829
h,9,0,0.00E+00,0.00E+00,0.00E+00
h,9,1,-2.31E-02,-1.219779942,0.530683953
h,9,2,-0.233902661,0.765987584,-4.42E-03
h,9,3,-0.193226551,0.495849534,0.191574626
h,9,4,5.96E-02,0.33350234,-0.130309865
h,9,5,0.747159322,-0.563524208,-0.116699978
h,9,6,-0.675229062,0.124364987,6.01E-02
h,9,7,-0.234974441,-1.185896657,0.168078237
h,9,8,0.171800127,1.490818897,0.304964066
h,9,9,5.64E-02,5.84E-02,-5.24E-02
h,10,0,0.00E+00,0.00E+00,0.00E+00
h,10,1,7.01E-02,-0.432467457,3.52E-02
h,10,2,-0.102569835,-0.330208685,9.92E-02
h,10,3,-0.124091511,-2.42E-02,-1.30E-02
h,10,4,-1.15E-02,-0.159656501,0.105086549
h,10,5,-0.231135002,5.83E-02,4.85E-02
h,10,6,0.307083745,-0.199600617,0.109219375
h,10,7,1.75E-02,5.95E-03,0.120752868
h,10,8,-7.86E-02,0.241174915,-5.51E-02
h,10,9,-5.56E-04,0.13003361,2.74E-02
h,10,10,1.66E-02,-0.105845577,-4.86E-03
h,11,0,0.00E+00,0,0.00E+00
h,11,1,0.00E+00,0,0.00E+00
h,11,2,0.00E+00,0,0.00E+00
h,11,3,0.00E+00,0,0.00E+00
h,11,4,0.00E+00,0,0.00E+00
h,11,5,0.00E+00,0,0.00E+00
h,11,6,0.00E+00,0,0.00E+00
h,11,7,0.00E+00,0,0.00E+00
h,11,8,0.00E+00,0,0.00E+00
h,11,9,0.00E+00,0,0.00E+00
h,11,10,0.00E+00,0,0.00E+00
h,11,11,0.00E+00,0,0.00E+00
h,12,0,0.00E+00,0,0.00E+00
h,12,1,0.00E+00,0,0.00E+00
h,12,2,0.00E+00,0,0.00E+00
h,12,3,0.00E+00,0,0.00E+00
h,12,4,0.00E+00,0,0.00E+00
h,12,5,0.00E+00,0,0.00E+00
h,12,6,0.00E+00,0,0.00E+00
h,12,7,0.00E+00,0,0.00E+00
h,12,8,0.00E+00,0,0.00E+00
h,12,9,0.00E+00,0,0.00E+00
h,12,10,0.00E+00,0,0.00E+00
h,12,11,0.00E+00,0,0.00E+00
h,12,12,0.00E+00,0,0.00E+00
h,13,0,0.00E+00,0,0.00E+00
h,13,1,0.00E+00,0,0.00E+00
h,13,2,0.00E+00,0,0.00E+00
h,13,3,0.00E+00,0,0.00E+00
h,13,4,0.00E+00,0,0.00E+00
h,13,5,0.00E+00,0,0.00E+00
h,13,6,0.00E+00,0,0.00E+00
h,13,7,0.00E+00,0,0.00E+00
h,13,8,0.00E+00,0,0.00E+00
h,13,9,0.00E+00,0,0.00E+00
h,13,10,0.00E+00,0,0.00E+00
h,13,11,0.00E+00,0,0.00E+00
h,13,12,0.00E+00,0,0.00E+00
h,13,13,0.00E+00,0,0.00E+00
